epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,2717.85,1.08828,2.10452,0.96974,1.54308,0.97333,0.89268,0.97182,0.66904,0.97333,0.89268,0.96462,0.63031,1.13683,1.69496,0.55782,1.49644,0.0005248,0.0005248,0.0005248
98,2746.33,1.07654,2.15865,1.00528,1.50099,0.89641,0.89257,0.95711,0.65116,0.88696,0.87839,0.94594,0.61434,1.19417,1.64892,0.60441,1.57799,0.00051985,0.00051985,0.00051985
99,2775.53,1.05828,1.95131,0.89505,1.47941,0.94345,0.93784,0.96951,0.65385,0.93524,0.92413,0.95323,0.60438,1.21194,1.74213,0.62915,1.61115,0.0005149,0.0005149,0.0005149
100,2805.55,1.14258,2.35469,1.02668,1.58846,0.94652,0.90886,0.97095,0.62355,0.93297,0.89696,0.95223,0.60597,1.30402,1.72513,0.70575,1.75398,0.00050995,0.00050995,0.00050995
101,2834.74,1.05792,2.00506,0.93319,1.48804,0.91947,0.88251,0.9606,0.63009,0.91947,0.88251,0.94636,0.62799,1.28425,1.75619,0.65055,1.75746,0.000505,0.000505,0.000505
102,2861.61,1.0709,2.12351,0.99133,1.5046,0.89336,0.92623,0.95349,0.65559,0.89336,0.92623,0.9438,0.63187,1.15905,1.65692,0.61637,1.5699,0.00050005,0.00050005,0.00050005
103,2888.58,1.0415,1.99639,0.91096,1.51987,0.90723,0.9019,0.97581,0.64648,0.89313,0.89028,0.95663,0.63213,1.20461,1.70263,0.64907,1.66294,0.0004951,0.0004951,0.0004951
104,2914.53,1.04241,2.11571,0.94334,1.45416,0.97659,0.85709,0.96113,0.62,0.97659,0.85709,0.94579,0.60505,1.26849,1.69372,0.67124,1.76076,0.00049015,0.00049015,0.00049015
105,2942.25,1.06852,2.14486,0.98254,1.5136,0.95304,0.8861,0.96272,0.65572,0.95304,0.8861,0.96824,0.62197,1.20504,1.7154,0.62577,1.61871,0.0004852,0.0004852,0.0004852
106,2968.72,0.9879,2.08767,0.92525,1.50408,0.89729,0.90476,0.96034,0.65705,0.89729,0.90476,0.96291,0.62413,1.18147,1.72509,0.60666,1.59399,0.00048025,0.00048025,0.00048025
107,2995.46,1.02316,2.10669,0.93997,1.51343,0.95729,0.93761,0.98286,0.67049,0.95729,0.93761,0.97791,0.63275,1.20097,1.66354,0.5846,1.63514,0.0004753,0.0004753,0.0004753
108,3023.86,1.12183,2.1696,0.98203,1.50471,0.92352,0.94781,0.976,0.66906,0.9123,0.93603,0.96106,0.63007,1.19396,1.63768,0.60126,1.58528,0.00047035,0.00047035,0.00047035
109,3049.52,1.04336,2.13416,0.89376,1.47994,0.92564,0.8786,0.95543,0.64658,0.92564,0.8786,0.95095,0.62032,1.21519,1.65538,0.66254,1.67483,0.0004654,0.0004654,0.0004654
110,3075.14,1.0576,2.10568,0.95784,1.44717,0.94699,0.88756,0.96898,0.66044,0.94699,0.88756,0.9659,0.62868,1.19757,1.60444,0.61678,1.58432,0.00046045,0.00046045,0.00046045
111,3102.22,1.00339,1.95357,0.88197,1.47343,0.94241,0.92385,0.96981,0.65943,0.94241,0.92385,0.96811,0.61551,1.19107,1.64306,0.61193,1.57954,0.0004555,0.0004555,0.0004555
112,3130.25,1.0768,2.1165,0.93052,1.53681,0.91066,0.89164,0.95801,0.6541,0.91066,0.89164,0.95888,0.62116,1.20899,1.65237,0.61024,1.52628,0.00045055,0.00045055,0.00045055
113,3159.85,1.09851,2.30051,0.92559,1.51231,0.90571,0.90432,0.95455,0.64617,0.90571,0.90432,0.95593,0.62642,1.23625,1.69498,0.65292,1.60337,0.0004456,0.0004456,0.0004456
114,3185.75,0.99473,2.06879,0.91986,1.43536,0.91773,0.90934,0.96582,0.67347,0.90853,0.91893,0.95924,0.62324,1.19483,1.72379,0.62016,1.59557,0.00044065,0.00044065,0.00044065
